ISO3,Country,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in Education (2010),Inequality in Education (2011),Inequality in Education (2012),Inequality in Education (2013),Inequality in Education (2014),Inequality in Education (2015),Inequality in Education (2016),Inequality in Education (2017),Inequality in Education (2018),Inequality in Education (2019),Inequality in Education (2020),Inequality in Education (2021),continent
AGO,Angola,Medium,SSA,148.0,,,,,,34.17144,34.17144,34.17144,34.17144,34.17144,34.17144,34.17144,Africa
BDI,Burundi,Low,SSA,187.0,40.97,40.97,36.86809,36.86809,36.86809,36.86809,36.86809,39.48821,39.48821,39.48821,39.48821,39.48821,Africa
BEN,Benin,Low,SSA,166.0,,44.79226,44.79226,44.79226,43.65639,43.65639,43.65639,43.69355,43.69355,43.69355,43.69355,43.69355,Africa
BFA,Burkina Faso,Low,SSA,184.0,20.96640874,20.96640874,20.96640874,20.96640874,39.15279412,39.15279412,39.15279412,39.15279412,39.15279412,39.15279412,39.15279412,39.15279412,Africa
BWA,Botswana,Medium,SSA,117.0,32.082,32.082,32.082,32.082,32.082,23.27683,23.27683,23.27683,23.27683,23.27683,23.27683,23.27683,Africa
CAF,Central African Republic,Low,SSA,188.0,34.5496,34.5496,34.5496,34.5496,34.5496,34.5496,34.5496,34.5496,34.5496,35.19785,35.19785,35.19785,Africa
CIV,Ivory Coast,Medium,SSA,159.0,43.2,43.2,45.11142,45.11142,45.11142,45.11142,45.60904,45.60904,45.60904,45.60904,45.60904,45.60904,Africa
CMR,Cameroon,Medium,SSA,151.0,,33.66053,33.66053,33.66053,32.95967,32.95967,32.95967,32.95967,31.71699,31.71699,31.71699,31.71699,Africa
COD,The Democratic Republic of the Congo,Low,SSA,179.0,29.396,29.396,29.396,29.396,27.69055,27.69055,27.69055,26.76947,26.76947,26.76947,26.76947,26.76947,Africa
COG,Congo,Medium,SSA,153.0,25.4,25.4,21.52094,21.52094,20.93222,20.93222,20.93222,20.93222,20.93222,20.93222,20.93222,20.93222,Africa
COM,Comoros,Medium,SSA,156.0,,,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,Africa
CPV,Cabo Verde,Medium,SSA,128.0,,,,,,27.38759118,27.38759118,27.38759118,27.38759118,27.38759118,27.38759118,27.38759118,Africa
DJI,Djibouti,Low,AS,171.0,46.974,46.974,,,,,,,,,,,Africa
DZA,Algeria,High,AS,91.0,,,,33.68956,33.68956,33.68956,33.68956,33.68956,33.68956,33.28262,33.28262,33.28262,Africa
EGY,Egypt,High,AS,97.0,40.9,40.9,38.143,38.143,36.94291,36.94291,36.94291,36.94291,36.94291,36.94291,36.94291,36.94291,Africa
ERI,Eritrea,Low,SSA,176.0,,,,,,,,,,,,,Africa
ETH,Ethiopia,Low,SSA,175.0,,44.335,44.335,44.335,44.335,44.335,43.50563,43.50563,43.50563,42.77036,42.77036,42.77036,Africa
GAB,Gabon,High,SSA,112.0,,,23.47992,23.47992,23.47992,23.47992,23.47992,23.47992,23.47992,23.47992,23.47992,23.47992,Africa
GHA,Ghana,Medium,SSA,133.0,40.9,36.74153,36.74153,36.74153,34.92485,34.92485,34.92485,35.10167,35.10167,35.10167,35.10167,35.10167,Africa
