country,child_mort,exports,health,imports,income,inflation,gdpp,continent
Algeria,27.3,38.4,4.17,31.4,12900,16.1,4460,Africa
Angola,119.0,62.3,2.85,42.9,5900,22.4,3530,Africa
Benin,111.0,23.8,4.1,37.2,1820,0.885,758,Africa
Botswana,52.5,43.6,8.3,51.3,13300,8.92,6350,Africa
Burkina Faso,116.0,19.2,6.74,29.6,1430,6.81,575,Africa
Burundi,93.6,8.92,11.6,39.2,764,12.3,231,Africa
Cameroon,108.0,22.2,5.13,27.0,2660,1.91,1310,Africa
Cape Verde,26.5,32.7,4.09,61.8,5830,0.505,3310,Africa
Central African Republic,149.0,11.8,3.98,26.5,888,2.01,446,Africa
Chad,150.0,36.8,4.53,43.5,1930,6.39,897,Africa
Comoros,88.2,16.5,4.51,51.7,1410,3.87,769,Africa
"Congo, Dem. Rep.",116.0,41.1,7.91,49.6,609,20.8,334,Africa
"Congo, Rep.",63.9,85.1,2.46,54.7,5190,20.7,2740,Africa
Cote d'Ivoire,111.0,50.6,5.3,43.3,2690,5.39,1220,Africa
Egypt,29.1,21.3,4.66,26.6,9860,10.1,2600,Africa
Equatorial Guinea,111.0,85.8,4.48,58.9,33700,24.9,17100,Africa
Eritrea,55.2,4.79,2.66,23.3,1420,11.6,482,Africa
Gabon,63.7,57.7,3.5,18.9,15400,16.6,8750,Africa
Gambia,80.3,23.8,5.69,42.7,1660,4.3,562,Africa
Ghana,74.7,29.5,5.22,45.9,3060,16.6,1310,Africa
Guinea,109.0,30.3,4.93,43.2,1190,16.1,648,Africa
Guinea-Bissau,114.0,14.9,8.5,35.2,1390,2.97,547,Africa
Kenya,62.2,20.7,4.75,33.6,2480,2.09,967,Africa
Lesotho,99.7,39.4,11.1,101.0,2380,4.15,1170,Africa
Liberia,89.3,19.1,11.8,92.6,700,5.47,327,Africa
Libya,16.6,65.6,3.88,42.1,29600,14.2,12100,Africa
Madagascar,62.2,25.0,3.77,43.0,1390,8.79,413,Africa
Malawi,90.5,22.8,6.59,34.9,1030,12.1,459,Africa
Mali,137.0,22.8,4.98,35.1,1870,4.37,708,Africa
Mauritania,97.4,50.7,4.41,61.2,3320,18.9,1200,Africa
Mauritius,15.0,51.2,6.0,62.2,15900,1.13,8000,Africa
Morocco,33.5,32.2,5.2,43.0,6440,0.976,2830,Africa
Mozambique,101.0,31.5,5.21,46.2,918,7.64,419,Africa
Namibia,56.0,47.8,6.78,60.7,8460,3.56,5190,Africa
Niger,123.0,22.2,5.16,49.1,814,2.55,348,Africa
Nigeria,130.0,25.3,5.07,17.4,5150,104.0,2330,Africa
Rwanda,63.6,12.0,10.5,30.0,1350,2.61,563,Africa
Senegal,66.8,24.9,5.66,40.3,2180,1.85,1000,Africa
Seychelles,14.4,93.8,3.4,108.0,20400,-4.21,10800,Africa
Sierra Leone,160.0,16.8,13.1,34.5,1220,17.2,399,Africa
South Africa,53.7,28.6,8.94,27.4,12000,6.35,7280,Africa
Sudan,76.7,19.7,6.32,17.2,3370,19.6,1480,Africa
Tanzania,71.9,18.7,6.01,29.1,2090,9.25,702,Africa
Togo,90.3,40.2,7.65,57.3,1210,1.18,488,Africa
Tunisia,17.4,50.5,6.21,55.3,10400,3.82,4140,Africa
Uganda,81.0,17.1,9.01,28.6,1540,10.6,595,Africa
Zambia,83.1,37.0,5.89,30.9,3280,14.0,1460,Africa
